species	genome_sequence_num	genome_sequence_length	totol_masked_length	totol_masked_perc	Retroelements_num	Retroelements_len	Retroelements_perc	SINEs_num	SINEs_len	SINEs_perc	Penelope_num	Penelope_len	Penelope_perc	LINEs_num	LINEs_len	LINEs_perc	CRE/SLACS_num	CRE/SLACS_len	CRE/SLACS_perc	L2/CR1/Rex_num	L2/CR1/Rex_len	L2/CR1/Rex_perc	R1/LOA/Jockey_num	R1/LOA/Jockey_len	R1/LOA/Jockey_perc	R2/R4/NeSL_num	R2/R4/NeSL_len	R2/R4/NeSL_perc	RTE/Bov-B_num	RTE/Bov-B_len	RTE/Bov-B_perc	L1/CIN4_num	L1/CIN4_len	L1/CIN4_perc	LTR_num	LTR_len	LTR_perc	BEL/Pao_num	BEL/Pao_len	BEL/Pao_perc	Ty1/Copia_num	Ty1/Copia_len	Ty1/Copia_perc	Gypsy/DIRS1_num	Gypsy/DIRS1_len	Gypsy/DIRS1_perc	Retroviral_num	Retroviral_len	Retroviral_perc	DNA_num	DNA_len	DNA_perc	hobo-Activator_num	hobo-Activator_len	hobo-Activator_perc	Tc1-IS630-Pogo_num	Tc1-IS630-Pogo_len	Tc1-IS630-Pogo_perc	En-Spm_num	En-Spm_len	En-Spm_perc	MuDR-IS905_num	MuDR-IS905_len	MuDR-IS905_perc	PiggyBac_num	PiggyBac_len	PiggyBac_perc	Tourist/Harbinger_num	Tourist/Harbinger_len	Tourist/Harbinger_perc	Other_num	Other_len	Other_perc	Rolling-circles_num	Rolling-circles_len	Rolling-circles_perc	Unclassified_num	Unclassified_len	Unclassified_perc	Total_interspersed_repeats_len	Total_interspersed_repeats_perc	Small_RNA_num	Small_RNA_len	Small_RNA_perc	Satellites_num	Satellites_len	Satellites_perc	Simple_repeats_num	Simple_repeats_len	Simple_repeats_perc	Low_complexity_num	Low_complexity_len	Low_complexity_perc
Chaetura_pelagica	19072	1119188094	114419586	0.10220000000000001	225723	79776290	0.0713	7497	910611	0.0008	109	23207	0.0	206450	74350578	0.0664	0	0	0.0	199951	73915876	0.066	0	0	0.0	6290	390597	0.0003	19	1137	0.0	81	19761	0.0	11776	4515101	0.004	0	0	0.0	0	0	0.0	125	22231	0.0	11480	4461879	0.004	17315	2768805	0.0025	2672	462506	0.0004	550	96326	0.0001	0	0	0.0	0	0	0.0	0	0	0.0	4681	482453	0.0004	0	0	0.0	42	6608	0.0	71934	19688246	0.0176	102233341	0.0913	1810	247310	0.0002	981	114542	0.0001	220935	9633683	0.0086	48099	2387067	0.0021
Chlamydotis_macqueenii	59693	1086566339	86938651	0.08	167805	54693421	0.050300000000000004	9855	1222219	0.0011	352	61504	0.0001	145258	48156505	0.0443	0	0	0.0	135837	47550027	0.0438	0	0	0.0	8826	490644	0.0005	157	33385	0.0	86	20945	0.0	12692	5314697	0.0049	0	0	0.0	0	0	0.0	48	7223	0.0	12425	5266423	0.0048	25177	4146913	0.0038	4127	715880	0.0007000000000000001	680	120419	0.0001	0	0	0.0	0	0	0.0	0	0	0.0	7602	795966	0.0007000000000000001	0	0	0.0	533	31043	0.0	66997	17667700	0.0163	76508034	0.0704	2256	317707	0.0003	918	100811	0.0001	227759	8104757	0.0075	46838	2151984	0.002
Colius_striatus	70188	1075931597	113591016	0.1056	254543	81664851	0.0759	6941	833766	0.0008	118	24254	0.0	227532	72764482	0.0676	0	0	0.0	218255	72155183	0.06709999999999999	0	0	0.0	9060	565115	0.0005	25	1507	0.0	74	18423	0.0	20070	8066603	0.0075	0	0	0.0	0	0	0.0	225	35168	0.0	19692	8002204	0.0074	17646	2795947	0.0026	2894	517715	0.0005	539	95877	0.0001	0	0	0.0	0	0	0.0	0	0	0.0	4837	473432	0.0004	0	0	0.0	50	7321	0.0	74533	21867457	0.0203	106328255	0.09880000000000001	1736	232475	0.0002	876	103247	0.0001	138098	5685264	0.0053	30709	1428294	0.0013
Columba_livia	15057	1108534737	99300159	0.08960000000000001	178980	63511423	0.057300000000000004	8250	991723	0.0009	297	53738	0.0	159213	57282403	0.051699999999999996	0	0	0.0	153653	56886133	0.0513	0	0	0.0	5161	321652	0.0003	19	1214	0.0	83	19666	0.0	11517	5237297	0.004699999999999999	0	0	0.0	0	0	0.0	41	6334	0.0	11297	5198387	0.004699999999999999	22014	3844719	0.0034999999999999996	3422	612543	0.0006	1815	578476	0.0005	0	0	0.0	0	0	0.0	0	0	0.0	6003	616040	0.0006	0	0	0.0	52	7997	0.0	67021	17543239	0.0158	84899381	0.0766	2052	269844	0.0002	1128	170071	0.0002	236343	11357157	0.0102	48436	2810161	0.0025
Corvus_brachyrhynchos	10547	1091312783	102195090	0.09359999999999999	195105	62846105	0.0576	6778	818267	0.0007000000000000001	499	88115	0.0001	148246	43361945	0.0397	0	0	0.0	144123	42959502	0.0394	0	0	0.0	3526	295523	0.0003	23	1354	0.0	75	17451	0.0	40081	18665893	0.0171	0	0	0.0	0	0	0.0	103	19028	0.0	39655	18518189	0.017	16191	2575343	0.0024	2791	479030	0.0004	521	92449	0.0001	0	0	0.0	0	0	0.0	0	0	0.0	4071	412257	0.0004	0	0	0.0	38	5801	0.0	95395	25440985	0.0233	90862433	0.0833	1653	216135	0.0002	1733	612657	0.0006	179838	8619992	0.0079	37794	2051592	0.0019
Cuculus_canorus	14930	1153894225	122502311	0.10619999999999999	281944	97612987	0.08460000000000001	6973	871992	0.0008	129	26392	0.0	263859	91960988	0.0797	0	0	0.0	255944	91368540	0.07919999999999999	0	0	0.0	7676	544796	0.0005	34	2538	0.0	76	18722	0.0	11112	4780007	0.0040999999999999995	0	0	0.0	0	0	0.0	38	5241	0.0	10896	4741943	0.0040999999999999995	21962	3852691	0.0033	3244	591928	0.0005	3958	946842	0.0008	0	0	0.0	0	0	0.0	0	0	0.0	4911	501420	0.0004	0	0	0.0	53	7372	0.0	43551	11561772	0.01	113027450	0.098	1878	254093	0.0002	1218	157502	0.0001	162513	7489757	0.006500000000000001	35861	1770405	0.0015
Egretta_garzetta	11790	1206484573	101322860	0.084	204572	68841714	0.0571	10947	1363540	0.0011	890	139596	0.0001	171790	57983389	0.0481	0	0	0.0	165752	57458277	0.047599999999999996	0	0	0.0	5033	360605	0.0003	22	1492	0.0	93	23419	0.0	21835	9494785	0.0079	0	0	0.0	0	0	0.0	45	9126	0.0	21564	9443123	0.0078000000000000005	28101	4649103	0.0039000000000000003	4806	847123	0.0007000000000000001	704	122967	0.0001	0	0	0.0	0	0	0.0	0	0	0.0	8603	917006	0.0008	0	0	0.0	72	10961	0.0	68950	17136463	0.014199999999999999	90627280	0.0751	2354	331286	0.0003	1332	157467	0.0001	222681	8578805	0.0070999999999999995	41396	1905101	0.0016
Eurypyga_helias	62699	1088019637	90307024	0.083	195419	63517198	0.0584	8566	1064810	0.001	141	28996	0.0	166429	53571402	0.0492	0	0	0.0	159352	53090950	0.048799999999999996	0	0	0.0	6834	429627	0.0004	18	1171	0.0	84	20658	0.0	20424	8880986	0.008199999999999999	0	0	0.0	0	0	0.0	39	6281	0.0	20198	8840519	0.008100000000000001	22478	3643937	0.0033	3640	644446	0.0006	631	112909	0.0001	0	0	0.0	0	0	0.0	0	0	0.0	6510	672087	0.0006	0	0	0.0	61	9817	0.0	62151	15115084	0.0139	82276219	0.0756	2013	281105	0.0003	1250	178318	0.0002	158033	6133816	0.005600000000000001	35994	1673016	0.0015
Falco_peregrinus	7020	1171955363	82106246	0.0701	131409	51729900	0.0441	10269	1284133	0.0011	1314	169590	0.0001	101373	40262880	0.0344	0	0	0.0	96634	39782614	0.0339	0	0	0.0	3167	255400	0.0002	136	30380	0.0	85	21511	0.0	19767	10182887	0.0087	0	0	0.0	0	0	0.0	105	45763	0.0	19461	10099445	0.0086	24156	4022738	0.0034000000000000002	4058	773506	0.0007000000000000001	673	121043	0.0001	0	0	0.0	0	0	0.0	0	0	0.0	7129	746340	0.0006	0	0	0.0	70	10717	0.0	61819	14931347	0.0127	70683985	0.0603	2245	311941	0.0003	877	143206	0.0001	234334	9027634	0.0077	46377	2200143	0.0019
Fulmarus_glacialis	57389	1141395646	81155118	0.0711	145142	47112099	0.041299999999999996	13346	1653272	0.0014000000000000002	171	37137	0.0	117364	39127822	0.034300000000000004	0	0	0.0	113362	38786779	0.034	0	0	0.0	3546	238267	0.0002	188	40454	0.0	97	25185	0.0	14432	6331005	0.0055000000000000005	0	0	0.0	0	0	0.0	455	116816	0.0001	13726	6164838	0.0054	34628	5800081	0.0051	6299	1084542	0.001	825	147032	0.0001	0	0	0.0	0	0	0.0	0	0	0.0	11040	1214436	0.0011	0	0	0.0	79	12282	0.0	80503	18558840	0.0163	71471020	0.0626	2830	409976	0.0004	812	112313	0.0001	202488	7660967	0.0067	40095	1852430	0.0016
Gavia_stellata	61830	1129677294	74912300	0.0663	154395	46520414	0.0412	12787	1589234	0.0014000000000000002	382	79014	0.0001	131554	41061117	0.0363	0	0	0.0	127281	40638986	0.036000000000000004	0	0	0.0	3458	239801	0.0002	338	79049	0.0001	95	24267	0.0	10054	3870063	0.0034000000000000002	0	0	0.0	0	0	0.0	131	26553	0.0	9673	3795671	0.0034000000000000002	33406	5524602	0.0049	5951	1023169	0.0009	814	145826	0.0001	0	0	0.0	0	0	0.0	0	0	0.0	10921	1176271	0.001	0	0	0.0	71	11450	0.0	68710	15017948	0.013300000000000001	67062964	0.0594	2646	382258	0.0003	868	100815	0.0001	158061	6155457	0.0054	33943	1543101	0.0014000000000000002
Geospiza_fortis	27239	1065292181	101140147	0.0949	199095	63232247	0.0594	6552	755035	0.0007000000000000001	105	20142	0.0	139151	39569348	0.0371	0	0	0.0	135864	39315744	0.0369	0	0	0.0	3060	208216	0.0002	56	8661	0.0	66	16585	0.0	53392	22907864	0.0215	0	0	0.0	0	0	0.0	28	2696	0.0	53222	22880171	0.0215	14098	2199053	0.0021	2218	387732	0.0004	465	82381	0.0001	0	0	0.0	0	0	0.0	0	0	0.0	3598	355150	0.0003	0	0	0.0	39	6084	0.0	84374	23378974	0.0219	88810274	0.0834	1493	193531	0.0002	1561	433754	0.0004	193672	9576734	0.009000000000000001	42146	2272740	0.0021
Haliaeetus_leucocephalus	1023	1178409481	71521952	0.060700000000000004	126169	55302922	0.046900000000000004	11019	1457373	0.0012	156	34729	0.0	78254	32978456	0.027999999999999997	0	0	0.0	75847	32743620	0.0278	0	0	0.0	2132	173364	0.0001	22	1414	0.0	97	25329	0.0	36896	20867093	0.0177	0	0	0.0	0	0	0.0	47	9076	0.0	36618	20813171	0.0177	32117	5343154	0.0045000000000000005	5058	913912	0.0008	798	143323	0.0001	0	0	0.0	0	0	0.0	0	0	0.0	10636	1135739	0.001	0	0	0.0	77	12223	0.0	3852	663345	0.0006	61309421	0.052000000000000005	2825	405029	0.0003	1013	141842	0.0001	222862	8025637	0.0068000000000000005	43491	1978608	0.0017000000000000001
Leptosomus_discolor	57160	1136244952	89136209	0.0784	149430	57251387	0.0504	9573	1209019	0.0011	149	33627	0.0	125547	49634165	0.0437	0	0	0.0	120751	49267670	0.0434	0	0	0.0	4415	275430	0.0002	143	34819	0.0	89	22619	0.0	14310	6408203	0.005600000000000001	0	0	0.0	0	0	0.0	87	16990	0.0	14002	6350542	0.005600000000000001	27060	4385899	0.0039000000000000003	4556	781925	0.0007000000000000001	1032	144048	0.0001	0	0	0.0	0	0	0.0	0	0	0.0	8107	851982	0.0007000000000000001	0	0	0.0	65	9148	0.0	72600	17674242	0.015600000000000001	79311528	0.0698	2179	306387	0.0003	733	99433	0.0001	210861	7802732	0.0069	41049	1877143	0.0017000000000000001
Melopsittacus_undulatus	864	1171617451	154492389	0.1319	287035	105557691	0.0901	7687	1191340	0.001	126	25466	0.0	234888	82110988	0.0701	0	0	0.0	227883	81302188	0.0694	0	0	0.0	6143	390401	0.0003	663	376237	0.0003	73	16696	0.0	44460	22255363	0.019	0	0	0.0	0	0	0.0	31	4113	0.0	44268	22221256	0.019	17954	2862314	0.0024	2790	494372	0.0004	522	92391	0.0001	0	0	0.0	0	0	0.0	0	0	0.0	4941	497345	0.0004	0	0	0.0	48	7841	0.0	75680	29049180	0.0248	137469185	0.1173	1869	244116	0.0002	3822	1009593	0.0009	199797	13454612	0.0115	45406	2502854	0.0021
Merops_nubicus	53499	1062961556	100618708	0.0947	193566	65392977	0.061500000000000006	7132	886851	0.0008	378	63906	0.0001	169134	56727459	0.053399999999999996	0	0	0.0	163838	56311894	0.053	0	0	0.0	4808	330986	0.0003	35	2326	0.0	75	18347	0.0	17300	7778667	0.0073	0	0	0.0	0	0	0.0	169	32901	0.0	16959	7714790	0.0073	19390	3107617	0.0029	3358	600733	0.0006	564	100140	0.0001	0	0	0.0	0	0	0.0	0	0	0.0	5402	551635	0.0005	0	0	0.0	44	6650	0.0	73618	21008351	0.019799999999999998	89508945	0.0842	1795	249422	0.0002	860	155207	0.0001	224816	8696649	0.008199999999999999	46123	2214910	0.0021
Mesitornis_unicolor	67520	1087290853	99414495	0.09140000000000001	196093	62035337	0.0571	8839	1083859	0.001	918	120758	0.0001	171455	54325827	0.05	0	0	0.0	164502	53502940	0.0492	0	0	0.0	5357	340680	0.0003	601	342336	0.0003	77	19113	0.0	15799	6625651	0.0060999999999999995	0	0	0.0	0	0	0.0	267	77021	0.0001	15352	6514244	0.006	24785	5141004	0.004699999999999999	4119	732417	0.0007000000000000001	2624	1506333	0.0014000000000000002	0	0	0.0	0	0	0.0	0	0	0.0	6189	649729	0.0006	0	0	0.0	63	9179	0.0	87581	22747025	0.0209	89923366	0.0827	2071	276760	0.0003	1256	188073	0.0002	166696	7425619	0.0068000000000000005	37570	1820125	0.0017000000000000001
Nestor_notabilis	42180	1053559886	87454237	0.083	221012	61822344	0.0587	7430	949048	0.0009	134	27603	0.0	195440	53863008	0.051100000000000007	0	0	0.0	189533	53431823	0.0507	0	0	0.0	5542	350715	0.0003	155	34422	0.0	76	18445	0.0	18142	7010288	0.0067	0	0	0.0	0	0	0.0	32	4297	0.0	17880	6915465	0.0066	20931	3347621	0.0032	3436	590164	0.0006	581	104742	0.0001	0	0	0.0	0	0	0.0	0	0	0.0	5939	597740	0.0006	0	0	0.0	60	8902	0.0	58605	13009144	0.0123	78179109	0.0742	1907	259388	0.0002	1374	157591	0.0001	174512	7046137	0.0067	40354	2022414	0.0019
Nipponia_nippon	59554	1223846297	92396781	0.0755	163294	58332912	0.04769999999999999	12048	1518283	0.0012	409	72838	0.0001	131046	47895945	0.0391	0	0	0.0	125637	47387343	0.0387	0	0	0.0	4748	385432	0.0003	154	26431	0.0	98	23901	0.0	20200	8918684	0.0073	0	0	0.0	0	0	0.0	319	64866	0.0001	19630	8805579	0.0072	34101	5782737	0.004699999999999999	6370	1128035	0.0009	782	141836	0.0001	0	0	0.0	0	0	0.0	0	0	0.0	10680	1166527	0.001	0	0	0.0	79	11787	0.0	75044	15982712	0.0131	80098361	0.0654	2658	383187	0.0003	1155	161691	0.0001	247116	9902339	0.008100000000000001	46182	2171184	0.0018
Opisthocomus_hoazin	10256	1203712246	110976345	0.0922	222668	78825043	0.0655	9111	1145627	0.001	149	32292	0.0	198960	70896631	0.058899999999999994	0	0	0.0	194497	70514938	0.058600000000000006	0	0	0.0	4206	326669	0.0003	23	1554	0.0	85	21178	0.0	14597	6782785	0.005600000000000001	0	0	0.0	0	0	0.0	40	7148	0.0	14363	6739060	0.005600000000000001	24429	4084383	0.0034000000000000002	4400	763011	0.0006	678	119357	0.0001	0	0	0.0	0	0	0.0	0	0	0.0	6788	737887	0.0006	0	0	0.0	67	9992	0.0	73470	19630066	0.0163	102539492	0.0852	2246	309245	0.0003	1012	136817	0.0001	154304	6665808	0.0055000000000000005	32701	1581612	0.0013
Pelecanus_crispus	63982	1160924693	104496139	0.09	187024	62730253	0.054000000000000006	12836	1613443	0.0014000000000000002	377	69487	0.0001	156182	53728636	0.0463	0	0	0.0	149740	53184476	0.0458	0	0	0.0	5933	449554	0.0004	35	2129	0.0	97	22990	0.0	18006	7388174	0.0064	0	0	0.0	0	0	0.0	320	72664	0.0001	17440	7269775	0.0063	32909	5441437	0.004699999999999999	5707	976387	0.0008	758	134445	0.0001	0	0	0.0	0	0	0.0	0	0	0.0	10611	1133586	0.001	0	0	0.0	76	12075	0.0	98862	25854408	0.0223	94026098	0.081	2580	370549	0.0003	1250	158133	0.0001	217003	8436525	0.0073	39659	1814185	0.0016
Phaethon_lepturus	66785	1152958507	102595163	0.08900000000000001	189274	70059908	0.0608	10903	1359473	0.0012	386	80384	0.0001	154615	58441966	0.0507	0	0	0.0	148156	57935857	0.050199999999999995	0	0	0.0	5854	382055	0.0003	124	21172	0.0	95	22498	0.0	23756	10258469	0.0089	0	0	0.0	0	0	0.0	158	35678	0.0	23364	10179819	0.0088	29008	4786486	0.0042	5391	941030	0.0008	731	129291	0.0001	0	0	0.0	0	0	0.0	0	0	0.0	8910	936033	0.0008	0	0	0.0	78	11587	0.0	81147	19050731	0.0165	93897125	0.0814	2466	346673	0.0003	1112	124314	0.0001	177179	6822085	0.0059	37259	1691626	0.0015
Phalacrocorax_carbo	64312	1138967842	86248797	0.0757	171274	58297622	0.0512	10347	1271528	0.0011	154	32983	0.0	139001	47888810	0.042	0	0	0.0	134445	47383170	0.0416	0	0	0.0	4084	397344	0.0003	226	53971	0.0	92	21342	0.0	21926	9137284	0.008	0	0	0.0	0	0	0.0	143	30822	0.0	21557	9062565	0.008	27758	4653070	0.0040999999999999995	4835	899948	0.0008	738	132667	0.0001	0	0	0.0	0	0	0.0	0	0	0.0	8265	882095	0.0008	0	0	0.0	65	9723	0.0	75278	14794194	0.013000000000000001	77744886	0.0683	2073	300713	0.0003	946	100066	0.0001	163927	6669524	0.0059	37169	1684742	0.0015
Phoenicopterus_ruber	76189	1132184511	81208052	0.0717	159836	49873896	0.0441	12548	1593340	0.0014000000000000002	176	37700	0.0	134285	43002497	0.038	0	0	0.0	128046	42522253	0.037599999999999995	0	0	0.0	5773	366932	0.0003	186	48934	0.0	104	26678	0.0	13003	5278059	0.004699999999999999	0	0	0.0	0	0	0.0	730	178606	0.0002	12031	5053718	0.0045000000000000005	34853	5857750	0.0052	6594	1199494	0.0011	821	147396	0.0001	0	0	0.0	0	0	0.0	0	0	0.0	11278	1219276	0.0011	0	0	0.0	86	13090	0.0	75520	16888959	0.0149	72620605	0.0641	2626	382995	0.0003	989	119615	0.0001	181982	6750256	0.006	36812	1661317	0.0015
